0,8,relu,0.1,50,0.1,11.9,0.91447

1,16,sigmoid,0.01,50,0.1,19.2,0.94525
1,32,sigmoid,0.01,50,0.1,26.8,0.9634500000000001
1,64,sigmoid,0.01,50,0.1,24.6,0.9705
1,128,sigmoid,0.01,50,0.1,24.7,0.9738

2,32,sigmoid,0.01,50,0.01,39.2,0.94055
2,32,sigmoid,0.01,50,0.1,23.8,0.9617000000000001
2,32,sigmoid,0.01,50,1,9.1,0.9551999999999999
2,32,sigmoid,0.01,50,10,5.4,0.7805899999999999

3,32,sigmoid,0.01,1,0.1,4.7,0.94397
3,32,sigmoid,0.01,10,0.1,12.3,0.9640299999999999
3,32,sigmoid,0.01,50,0.1,24.5,0.96221
3,32,sigmoid,0.01,100,0.1,31.7,0.95931

4,32,sigmoid,10,50,0.1,54.7,0.72727
4,32,sigmoid,1,50,0.1,36.7,0.92602
4,32,sigmoid,0.1,50,0.1,20.3,0.95976
4,32,sigmoid,0.01,50,0.1,26.0,0.96298

5,32,sigmoid,0.01,50,0.01,36.0,0.9388399999999999
5,32,relu,0.01,50,0.01,20.7,0.9582499999999999
5,32,tanh,0.01,50,0.01,23.7,0.9589000000000001

##########################################################
